ApsimVersion = 7.0
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
             ()        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     16/09/1988         3807.1          1.270          60.86         180.38         353.33         19.227          5.000         21.000         12.000           2.15
     17/09/1988         3831.8          1.237          59.37         182.64         363.20         19.424          5.000         22.000         13.000           2.09
     18/09/1988         3849.7          1.206          57.96         184.24         370.36         19.549          5.000         22.000         13.000           2.03
     19/09/1988         3870.6          1.175          56.56         186.15         379.11         19.566          5.000         22.000         13.000           1.98
     20/09/1988         3887.7          1.148          55.33         187.71         386.37         19.121          5.000         22.000         13.000           1.93
     21/09/1988         3908.0          1.116          53.91         189.58         395.23         18.986          5.000         23.000         14.000           1.88
     22/09/1988         3927.4          1.084          52.44         191.36         403.91         18.749          5.000         23.000         14.000           1.82
     23/09/1988         3946.1          1.052          50.96         193.08         412.45         20.127          5.000         23.000         14.000           1.76
     24/09/1988         3963.8          1.018          49.40         194.69         420.66         21.660          5.000         23.000         14.000           1.70
     25/09/1988         3980.1          0.955          46.40         196.17         428.42         23.222          5.000         23.000         15.000           1.60
