ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       14/10/1990          9974.05          9592.52     pasturepaddock                  ?                  ?             0.88             0.02
       15/10/1990         10112.18          9671.25     pasturepaddock                  ?                  ?             0.88             0.02
       16/10/1990         10283.58          9813.13     pasturepaddock                  ?                  ?             0.87             0.02
       17/10/1990         10454.01          9933.37     pasturepaddock                  ?                  ?             0.87             0.02
       18/10/1990         10572.77          9980.67     pasturepaddock                  ?                  ?             0.87             0.02
       19/10/1990         10631.84         10039.74     pasturepaddock                  ?                  ?             0.87             0.02
       20/10/1990         10799.19         10207.09     pasturepaddock                  ?                  ?             0.87             0.02
       21/10/1990         10917.32         10325.22     pasturepaddock                  ?                  ?             0.87             0.02
       22/10/1990         11183.11         10591.01     pasturepaddock                  ?                  ?             0.87             0.02
       23/10/1990         11356.43         10722.93     pasturepaddock                  ?                  ?             0.86             0.02
       24/10/1990         11515.45         10830.42     pasturepaddock                  ?                  ?             0.86             0.02
       25/10/1990         11662.85         10924.55     pasturepaddock                  ?                  ?             0.86             0.02
       26/10/1990         11801.07         11007.11     pasturepaddock                  ?                  ?             0.85             0.02
       27/10/1990         11927.79         11085.81     pasturepaddock                  ?                  ?             0.85             0.02
       28/10/1990         12041.42         11143.14     pasturepaddock                  ?                  ?             0.85             0.02
       29/10/1990         12144.80         11193.64     pasturepaddock                  ?                  ?             0.84             0.02
       30/10/1990         12235.81         11214.75     pasturepaddock                  ?                  ?             0.84             0.02
       31/10/1990         12327.27         11266.95     pasturepaddock                  ?                  ?             0.83             0.02
       01/11/1990         12456.33         11384.76     pasturepaddock                  ?                  ?             0.83             0.02
       02/11/1990         12531.43         11436.91     pasturepaddock                  ?                  ?             0.83             0.02
       03/11/1990         12604.54         11505.86     pasturepaddock                  ?                  ?             0.83             0.02
       04/11/1990         12667.61         11562.41     pasturepaddock                  ?                  ?             0.83             0.02
       05/11/1990         12721.90         11616.70     pasturepaddock                  ?                  ?             0.83             0.02
       06/11/1990         12759.82         11654.62     pasturepaddock                  ?                  ?             0.83             0.02
       07/11/1990         12775.21         11670.02     pasturepaddock                  ?                  ?             0.83             0.02
       08/11/1990         12783.72         11678.52     pasturepaddock                  ?                  ?             0.83             0.02
